"","new_pcon","con","lab","ld","grn","brx","pc","snp","other","total_votes","con_pct","lab_pct","ld_pct","grn_pct","brx_pct","pc_pct","snp_pct","other_pct","winning_pct","winner"
"48","Birmingham Hodge Hill BC",12700.0672899319,27635.3419645465,1364.26529684248,787.082711205401,1795.43087232841,0,0,193.830682020192,44476.0188168749,0.285548653583924,0.621353769957063,0.0306741775260886,0.01769678878962,0.0403685158898978,0,0,0.00435809425340584,0.621353769957063,"Lab"
"49","Birmingham Ladywood BC",4965.24374534279,37648.7540419934,2242.95165951036,940.242606686187,903.457819253528,0,0,317.12650446026,47017.7763772466,0.105603542487935,0.800734465618261,0.0477043329636447,0.0199975983368963,0.0192152391896343,0,0,0.00674482140362826,0.800734465618261,"Lab"
"50","Birmingham Northfield BC",20096.8780041886,18823.0452026474,1979.2963317499,969.29168182239,1706.2156199906,0,0,253.043763174141,43827.770603573,0.458542100759973,0.429477587918033,0.0451607805848226,0.0221159248684981,0.0389300116454362,0,0,0.00577359422323689,0.458542100759973,"Con"
"51","Birmingham Perry Barr BC",10031.3299018118,30160.8620549252,1771.31528619184,732.155745197737,921.869047357948,0,0,98.2445156140664,43715.7765510985,0.229467041265671,0.689930831256554,0.0405189024635392,0.0167480896591631,0.0210877884390408,0,0,0.00224734691603225,0.689930831256554,"Lab"
"52","Birmingham Selly Oak BC",14884.5187010835,27818.5333335453,3139.37134013894,1816.1882630626,1441.54620305325,0,0,108.721201916575,49208.8790428002,0.302476280513065,0.565315322654468,0.063796847260195,0.0369077349126961,0.029294432856303,0,0,0.00220938180327199,0.565315322654468,"Lab"
"53","Birmingham Yardley BC",12089.4210789918,23774.928872591,3419.46920586196,503.18930010122,1826.26453085736,0,0,44.4760407044212,41657.7490291078,0.29020821721655,0.570720440415025,0.082084829006787,0.0120791284173714,0.0438397314646377,0,0,0.00106765347962858,0.570720440415025,"Lab"
"54","Bishop Auckland CC",25516.9872098877,15983.1614916772,2432.13006453065,307.221944350216,2835.54182038161,0,0,431.845285319876,47506.8878161473,0.537121844492087,0.336438824482303,0.0511953145392948,0.00646689266489466,0.0596869622644031,0,0,0.00909016155701731,0.537121844492087,"Con"
"55","Blackburn BC",10542.4295578256,28367.0016399083,1097.67259756234,710.739117740538,2657.22817394879,0,0,306.59065432406,43681.6617413096,0.241346806361436,0.649402987640503,0.0251289111678705,0.0162708809465551,0.0608316640901931,0,0,0.00701874979344291,0.649402987640503,"Lab"
"56","Blackpool North and Fleetwood BC",28399.3615680153,15508.2661949434,2036.07407383109,954.289632433964,1095.95286477098,0,0,372.310973186238,48366.255307181,0.587173048391836,0.320642276240909,0.0420969963645044,0.0197304841231378,0.0226594525007245,0,0,0.0076977423788887,0.587173048391836,"Con"
"57","Blackpool South BC",20493.5878389903,18824.9749694129,1252.39810235177,783.314250353348,2009,0,0,496.2728741685,43859.5480352768,0.467254879656012,0.429210418544935,0.0285547425464679,0.0178596060707994,0.0458053055718708,0,0,0.0113150476099148,0.467254879656012,"Con"
"58","Blaenau Gwent and Rhymney",7821.14867272342,20569.2443914476,1523.73238241336,406.467096109253,8360.06984936756,3243.73757432782,0,408.531944907276,42332.9319112963,0.184753295356715,0.485892270219981,0.0359940196347884,0.00960167599449423,0.19748383756847,0.0766244488126807,0,0.00965045241287105,0.485892270219981,"Lab"
"59","Blaydon and Consett CC",15317.8626355935,21914.3326861858,3083.69627765696,1230.82535995994,4518.79169940781,0,0,1191.9766150108,47257.4852738148,0.324136219835655,0.463721938634947,0.065253075989755,0.0260450879438126,0.0956206550819506,0,0,0.0252230225138803,0.463721938634947,"Lab"
"60","Blyth and Ashington CC",18194.767365381,23095.4899782003,1543.72467020858,1181.48877327657,4602.29493424563,0,0,139.968612463782,48757.7343337758,0.373166793207143,0.473678490064733,0.031661123948887,0.0242318226927562,0.09439107450605,0,0,0.00287069558043065,0.473678490064733,"Lab"
"61","Bognor Regis and Littlehampton BC",33314.6879883194,9986.72881492632,5878.42762535633,1833.20966265874,0,0,0,1114.49374354239,52127.5478348032,0.639099466061527,0.191582555284878,0.112770077809637,0.0351677709542053,0,0,0,0.0213801298897528,0.639099466061527,"Con"
"62","Bolsover CC",21881.1423375754,16479.5854617119,1769.65530854307,761.536583342747,4138.18227313071,0,0,984.914632257564,46015.0165965614,0.475521774324656,0.358134945515664,0.0384582129798756,0.0165497404905784,0.0899311263845105,0,0,0.0214042003047146,0.475521774324656,"Con"
"63","Bolton North East BC",23080.9020311443,21639.9916123536,2137.4963343075,837.599193894664,2329.80081297433,0,0,0,50025.7899846744,0.461380060928877,0.432576709312999,0.0427278876547943,0.0167433476643001,0.0465719944390299,0,0,0,0.461380060928877,"Con"
"64","Bolton South and Walkden BC",12509.8675999292,23949.958771769,1471.67089072265,923.456621250151,3550.55606495465,0,0,0,42405.5099486256,0.295005710698561,0.564784123591119,0.0347047091876877,0.0217768073622725,0.0837286491603605,0,0,0,0.564784123591119,"Lab"
"65","Bolton West CC",26994.0733424598,17618.2480175422,2901.6928455752,1006.34165013185,414.405695909079,0,0,0,48934.7615516182,0.551633899635651,0.36003543205085,0.0592971694061365,0.0205649648271062,0.00846853408025599,0,0,0,0.551633899635651,"Con"
"66","Bootle BC",4433.11934786809,38936.0684972365,1777.50905204363,1154.21258049608,2598.66822552116,0,0,0,48899.5777031654,0.0906576202923143,0.796245495893434,0.0363501922825105,0.0236037330936167,0.0531429584381246,0,0,0,0.796245495893434,"Lab"
"67","Boston and Skegness CC",34673.9147910644,6809.69049240558,2065.4526718284,0,0,0,0,1578.85079428868,45127.908749587,0.76834747613652,0.150897541700686,0.0457688541095382,0,0,0,0,0.0349861280532555,0.76834747613652,"Con"
"68","Bournemouth East BC",24926,16120,5418,2049,0,0,0,761,49274,0.505865162154483,0.327150221211998,0.109956569387507,0.0415837967284978,0,0,0,0.0154442505175143,0.505865162154483,"Con"
"69","Bournemouth West BC",24416.8979574125,14453.1686571431,4948.21395301612,2093.28630800307,0,0,0,42.43224825588,45953.9991238306,0.531333473102464,0.314513838462603,0.107677548142923,0.0455517767313866,0,0,0,0.000923363560623729,0.531333473102464,"Con"
"70","Bracknell BC",27220.9381970966,11599.0248036332,5803.22372071391,1754.61858721657,0,0,0,458.386299625276,46836.1916082855,0.581194526334654,0.247650895714186,0.123904688264348,0.037462879174535,0,0,0,0.00978701051227627,0.581194526334654,"Con"
"71","Bradford East BC",9253.09416988009,26700.8578466598,3147.44520157933,634.66894598816,2603.10881589322,0,0,0.742159794196822,42339.9171397948,0.218543039168662,0.630630847918311,0.0743375380539203,0.014989848560465,0.0614811976910222,0,0,1.75286076197649e-05,0.630630847918311,"Lab"
"72","Bradford South BC",16375.1919443649,19437.6606108236,1590.34454911313,1001.1689210777,2941.93092558592,0,0,0.910624000262327,41347.2075749655,0.396041060685308,0.470108182652521,0.0384631669800122,0.0242137009920805,0.071151864856943,0,0,2.20238331358e-05,0.470108182652521,"Lab"
"73","Bradford West BC",6860.42596132478,33988.6688464405,1379.27224798134,818.46946203074,1493.09640259115,0,0,93.5786164367586,44633.5115368053,0.153705718530965,0.76150559694173,0.0309021674632071,0.0183375547620944,0.0334523623882904,0,0,0.00209659991371265,0.76150559694173,"Lab"
